Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,VR,DLC,English,Owned,Condition,Date Purchased, Purchase Price ,Format,Completed,Date Completed,Completion Time,Rating,Metacritic Rating,GameFAQs User Rating,Notes,Priority,Wishlisted,Estimated Time,Playing Status,Release Year,Weighted Score,Composite Score,My Score
Hyrule Warriors: Definitive Edition,Nintendo Switch,5/18/2018,NA,Nintendo,Team Ninja,The Legend of Zelda,Hack-and-Slash,,,,1,Complete,5/18/2018, $ 52.07 ,Physical,0,,,,79%,84%,,3,,15.50,,2018,71%,0.813,0.6
Framed Collection,PC,5/17/2018,NA,Fellow Traveller,Loveshack Entertainment,Framed,Adventure,,,,1,,1/16/2020, $ -   ,Digital,0,,,,85%,70%,Steam,3,,3.00,,2018,69%,0.777,0.6
FAR: Lone Sails,PC,5/17/2018,NA,Mixtvision,Okomotive,FAR,Adventure,,,,1,,2/28/2022, $ -   ,Digital,0,,,,80%,73%,Steam,3,,3.00,,2018,68%,0.764,0.6
House Flipper,PC,5/17/2018,NA,Frozen District,Empyrean,House Flipper,Simulation,,,,1,,11/2/2021, $ -   ,Digital,0,,,,68%,68%,Steam,3,,12.00,,2018,64%,0.682,0.6
Future Proof,PC,5/17/2018,NA,Silhouette Valley Games,Silhouette Valley Games,,Adventure,,,,1,,12/16/2018,,Digital,0,,,,,,Steam,2,,1.50,,2018,40%,,0.4
Shin Megami Tensei: Strange Journey Redux,Nintendo 3DS,5/15/2018,NA,Atlus USA,Atlus,Megami Tensei,Dungeon Crawler,,,,1,Complete,5/6/2019, $ 28.75 ,Physical,0,,,,82%,83%,,4,,44.00,,2018,81%,0.826,0.8
Dragon's Crown Pro,PlayStation 4,5/15/2018,NA,NIS America,Vanillaware,,Beat 'em Up,,,,1,Complete,10/10/2018, $ 10.84 ,Physical,0,,,,80%,81%,,3,,15.00,,2018,70%,0.806,0.6
Wizard of Legend,PC,5/15/2018,NA,Contingent99,Contingent99,,Roguelike,,,,1,,12/21/2018,,Digital,0,,,,73%,75%,Steam,3,,6.00,,2018,67%,0.742,0.6
Forgotton Anne,PC,5/15/2018,NA,Square Enix,ThroughLine Games,,Adventure,,,,1,,4/17/2019, $ -   ,Digital,0,,,,76%,70%,Steam,2,,7.00,,2018,57%,0.731,0.4
Horizon Chase Turbo,PC,5/15/2018,NA,Aquiris Game Studio,Aquiris Game Studio,Horizon Chase,Racing,,,,1,,12/6/2019, $ -   ,Digital,0,,,,73%,72%,Steam,2,,11.50,,2018,56%,0.7235,0.4
Water's Fine,PC,5/12/2018,NA,owch,owch,,Action,,,,1,,, $ -   ,Digital,0,,,,,,itch.io,2,,1.00,,2018,40%,,0.4
Fortune-499,PC,5/10/2018,NA,AP Thomson,AP Thomson,,Turn-Based RPG,,,,1,,, $ -   ,Digital,0,,,,,57%,itch.io,2,,4.00,,2018,48%,57%,0.4
Luminous,PC,5/9/2018,NA,Kieran Sheldon,Kieran Sheldon,,Action Adventure,,,,1,,, $ -   ,Digital,0,,,,,,itch.io,2,,,,2018,40%,,0.4
Shantae: Half-Genie Hero Ultimate Edition,Nintendo Switch,5/8/2018,NA,WayForward Technologies,WayForward Technologies,Shantae,Metroidvania,,,,1,Complete,9/11/2020, $ 38.12 ,Physical,0,,,,84%,82%,Limited Run Games,4,,7.00,,2018,82%,0.83,0.8
Pillars of Eternity II: Deadfire,PC,5/8/2018,NA,Versus Evil,Obsidian Entertainment,Pillars of Eternity,Computer RPG,,,,1,,9/14/2022, $ -   ,Digital,0,,,,88%,76%,Steam,4,,42.50,,2018,81%,0.821,0.8
HellStar Squadron,PC,5/7/2018,NA,CosmicCrystal Games,CosmicCrystal Games,,Scrolling Shooter,,,,1,,, $ -   ,Digital,0,,,,,,itch.io,2,,,,2018,40%,,0.4
City of Brass,PC,5/4/2018,NA,Uppercut Games,Uppercut Games,,Dungeon Crawler,,,,1,,6/3/2019, $ -   ,Digital,0,,,,74%,53%,Epic Games Store,3,,5.50,,2018,62%,0.636,0.6
Brave Battle Saga: The Legend of the Magic Warrior,Sega Genesis,5/1/2018,NA,Chuanpu Technologies,Chuanpu Technologies,,Turn-Based RPG,,,,0,,,,,0,,,,,74%,,3,,17.00,,2018,67%,74%,0.6
Super Robot Wars X,PlayStation 4,4/26/2018,AS,Bandai Namco Games,B.B. Studio,Super Robot Wars,Strategy RPG,,,2,1,Complete,1/31/2023, $ 28.08 ,Physical,0,,,,,82%,,3,,46.50,,2018,71%,82%,0.6
Earth Defense Force 4.1: Wingdiver the Shooter,PC,4/25/2018,NA,D3 Publisher,Clouds,Earth Defense Force,Scrolling Shooter,,,,1,,9/14/2022, $ 1.99 ,Digital,0,,,,,70%,Steam,2,,1.00,,2018,55%,70%,0.4
Frostpunk,PC,4/24/2018,NA,11 bit studios,11 bit studios,,Survival,,,,1,,2/9/2020, $ -   ,Digital,0,,,,84%,77%,Steam,3,,10.00,,2018,70%,0.807,0.6
BattleTech,PC,4/24/2018,NA,Paradox Interactive,Harebrained Schemes,BattleTech,Turn-Based Tactics,,,,1,,9/8/2019, $ 11.00 ,Digital,0,,,,79%,78%,Steam,3,,51.50,,2018,69%,0.786,0.6
Gal*Gun 2,Nintendo Switch,4/24/2018,NA,PQube,Inti Creates,Gal*Gun,Rail Shooter,,,,1,Complete,10/23/2020, $ 30.07 ,Physical,0,,,,62%,77%,,3,,4.50,,2018,65%,0.696,0.6
The Swords of Ditto: Mormo's Curse,PC,4/24/2018,NA,Devolver Digital,onebitbeyond,,Action Adventure,,,,1,,5/1/2020, $ -   ,Digital,0,,,,74%,71%,Steam,2,,8.50,,2018,56%,0.727,0.4
For the King,PC,4/19/2018,NA,Curve Digital,IronOak Games,,Strategy RPG,,,,1,,7/2/2019, $ -   ,Digital,0,,,,75%,66%,Twitch,3,,13.00,,2018,65%,0.704,0.6
Yakuza 6: The Song of Life,PlayStation 4,4/17/2018,NA,Sega,Sega CS1,Yakuza,Action Adventure,,,,1,Complete,2/6/2019, $ 19.99 ,Physical,0,,,,85%,83%,,4,,19.00,,2018,82%,0.838,0.8
Ys VIII: Lacrimosa of DANA,PC,4/16/2018,NA,NIS America,Nihon Falcom,Ys,Action RPG,,,,1,,2/27/2020, $ 28.79 ,Digital,0,,,,69%,84%,Steam,4,,37.00,,2018,78%,0.763,0.8
Tower of Time,PC,4/12/2018,NA,Event Horizon,Event Horizon,,Dungeon Crawler,,,,1,,12/30/2019, $ -   ,Digital,0,,,,77%,65%,Steam,3,,36.50,,2018,66%,0.71,0.6
Regalia: Of Men and Monarchs - Royal Edition,Nintendo Switch,4/12/2018,NA,Crunching Koalas,Pixelated Milk,,Strategy RPG,,,,1,,12/30/2022, $ 4.99 ,Digital,0,,,,72%,68%,,3,,30.50,,2018,65%,0.699,0.6
Dead In Vinland,PC,4/12/2018,NA,Dear Villagers,CCCP,,Turn-Based RPG,,,,1,,12/6/2019, $ -   ,Digital,0,,,,72%,68%,Steam,2,,26.00,,2018,55%,0.698,0.4
Masters of Anima,PC,4/10/2018,NA,Focus Entertainment,Passtech Games,,Real-Time Strategy,,,,1,,9/5/2022, $ 1.39 ,Digital,0,,,,71%,74%,Steam,3,,5.50,,2018,66%,0.727,0.6
Penny Punching Princess,PlayStation Vita,4/3/2018,NA,NIS America,Nippon Ichi Software,,Action RPG,,,,1,Complete,4/7/2021, $ 29.13 ,Physical,0,,,,,75%,,3,,13.00,,2018,67%,75%,0.6
Minit,PC,4/3/2018,NA,Devolver Digital,"JW, Kitty, Jukio, and Dom",Minit,Adventure,,,,1,,10/27/2018, $ -   ,Digital,0,,,,76%,68%,Steam,3,,1.50,,2018,66%,0.721,0.6
The Adventure Pals,PC,4/3/2018,NA,Armor Games Studios,Massive Monster,,Action Platformer,,,,1,,8/3/2019, $ -   ,Digital,0,,,,83%,74%,Steam,2,,10.00,,2018,59%,0.783,0.4
The King of Fighters '97: Global Match,PlayStation 4,4/3/2018,NA,SNK,SNK,The King of Fighters,Fighting,,,,1,Complete,5/11/2019, $ 30.74 ,Physical,0,,,,,70%,Limited Run Games,2,,0.75,,2018,55%,70%,0.4
The Elder Scrolls V: Skyrim VR,PC,4/2/2018,NA,Bethesda Softworks,Bethesda Game Studios,The Elder Scrolls,Action RPG,1,,,1,,3/11/2020, $ 11.25 ,Digital,0,,,,81%,72%,Steam,2,,30.00,,2018,58%,0.763,0.4
Scalpers: Turtle & the Moonshine Gang,PC,3/29/2018,NA,A Sweet Studio,A Sweet Studio,,Shooter,,,,1,,9/8/2018,,Digital,0,,,,,,Steam,2,,,,2018,40%,,0.4
Neverwinter Nights: Enhanced Edition,PC,3/27/2018,NA,Beamdog,Beamdog,Neverwinter Nights,Computer RPG,,,,1,,5/21/2019, $ 3.99 ,Digital,0,,,,,75%,Steam,5,,41.00,,2018,88%,75%,1
The Alliance Alive,Nintendo 3DS,3/27/2018,NA,Atlus USA,Cattle Call,,Turn-Based RPG,,,,1,Complete,3/9/2019,,Physical,0,,,,74%,81%,,4,,27.50,,2018,79%,0.777,0.8
Batman: The Enemy Within,PC,3/27/2018,NA,Telltale Games,Telltale Games,Batman,Adventure,,,,1,,7/7/2020, $ -   ,Digital,0,,,,79%,75%,Steam,3,,10.00,,2018,68%,0.769,0.6
The Witch and the Hundred Knight 2,PlayStation 4,3/27/2018,NA,NIS America,Nippon Ichi Software,The Witch and the Hundred Knight,Action RPG,,,,1,,12/19/2022, $ 12.49 ,Digital,0,,,,61%,77%,,3,,33.50,,2018,64%,0.689,0.6
Ni no Kuni II: Revenant Kingdom,PlayStation 4,3/23/2018,NA,Bandai Namco Entertainment,Level-5,Ni no Kuni,Action RPG,,,,1,Complete,2/10/2019, $ 14.46 ,Physical,0,,,,86%,78%,,4,,37.00,,2018,81%,0.818,0.8
Detective Pikachu,Nintendo 3DS,3/23/2018,NA,Nintendo,Creatures,Pokémon,Adventure,,,,1,Complete,5/26/2019, $ 21.70 ,Physical,0,,,,70%,72%,,3,,12.00,,2018,66%,0.712,0.6
Octahedron: Transfixed Edition,PC,3/20/2018,NA,Square Enix,Demimonde,,Side-Scrolling Platformer,,,,1,,4/17/2019, $ -   ,Digital,0,,,,87%,63%,Steam,2,,6.50,,2018,58%,0.752,0.4
Super Rad Raygun,PC,3/20/2018,NA,TRU FUN Entertainment,TRU FUN Entertainment,Rad Raygun,Action Platformer,,,,1,,, $ -   ,Digital,0,,,,64%,65%,itch.io,2,,5.50,,2018,52%,0.645,0.4
Legend of Himari,PC,3/19/2018,NA,Ternox,Ternox,Taimumari,Action,,,,1,,7/1/2023, $ 0.29 ,Digital,0,,,,,,Steam,2,,0.50,,2018,40%,,0.4
Burnout Paradise Remastered,PlayStation 4,3/16/2018,NA,Electronic Arts,Criterion Games,Burnout,Racing,,,,1,Complete,3/16/2018, $ 39.99 ,Physical,0,,,,82%,79%,,3,,11.50,,2018,70%,0.803,0.6
Synthetik: Legion Rising,PC,3/15/2018,NA,Flow Fire Games,Flow Fire Games,Synthetik,Twin-Stick Shooter,,,,1,,11/3/2019, $ -   ,Digital,0,,,,84%,69%,Steam,3,,9.50,,2018,68%,0.764,0.6
Surviving Mars,PC,3/15/2018,NA,Paradox Interactive,Haemimont Games,,Simulation,,,,1,,7/5/2019, $ -   ,Digital,0,,,,75%,64%,Steam,3,,18.50,,2018,65%,0.696,0.6
Devil May Cry HD Collection,PC,3/13/2018,NA,Capcom,Capcom,Devil May Cry,Hack-and-Slash,,,,1,,, $ -   ,Digital,0,,,,,78%,Twitch,3,,22.00,,2018,69%,78%,0.6
Q.U.B.E. 2,PC,3/13/2018,NA,Trapped Nerve Games,Toxic Games,Q.U.B.E.,Puzzle,1,,,1,,1/4/2019,,Digital,0,,,,83%,68%,Steam,3,,5.50,,2018,68%,0.757,0.6
Keep in Mind: Remastered,PC,3/8/2018,NA,Akupara Games,Little Moth Games,,Survival Horror,,,,1,,3/16/2023, $ 0.89 ,Digital,0,,,,,60%,Steam,2,,0.28,,2018,50%,60%,0.4
Warhammer: Vermintide 2,PC,3/8/2018,NA,Fatshark,Fatshark,Warhammer Fantasy,First-Person Shooter,,,,1,,5/30/2018, $ 29.99 ,Digital,0,,,,83%,73%,Steam,3,,18.50,,2018,69%,0.779,0.6
Northgard,PC,3/7/2018,NA,Shiro Games,Shiro Games,,Strategy,,,,1,,3/1/2019, $ -   ,Digital,0,,,,81%,68%,Steam,3,,14.00,,2018,67%,0.747,0.6
Acceleration of Suguri 2,PC,3/7/2018,NA,Fruitbat Factory,Orange_Juice,Suguri,Scrolling Shooter,,,,1,,,,Digital,0,,,,,71%,Steam,3,,1.00,,2018,66%,71%,0.6
Damascus Gear: Operation Osaka,PC,3/6/2018,NA,Arc System Works,Arc System Works,Damascus Gear,Hack-and-Slash,,,,1,,2/11/2021, $ 3.99 ,Digital,0,,,,,85%,Steam,3,,,,2018,73%,85%,0.6
Bravo Team,PlayStation 4,3/6/2018,NA,Sony Interactive Entertainment,Supermassive Games,,Rail Shooter,1,,,1,,6/4/2023, $ 9.99 ,Digital,0,,,,45%,53%,,2,,2.50,,2018,45%,0.492,0.4
Cloudborn,PC,3/2/2018,NA,Logtown Studios,Logtown Studios,,Adventure,1,,,1,,,,Digital,0,,,,,,Steam,2,,1.00,,2018,40%,,0.4
Where the Water Tastes Like Wine,PC,2/28/2018,NA,Good Shepherd Entertainment,Dim Bulb Games,,Adventure,,,,1,,9/10/2020, $ -   ,Digital,0,,,,74%,46%,Steam,3,,15.50,,2018,60%,0.601,0.6
Into the Breach,PC,2/27/2018,NA,Subset Games,Subset Games,,Turn-Based Strategy,,,,1,,1/10/2019, $ 9.03 ,Digital,0,,,,89%,79%,Steam,4,,5.00,,2018,82%,0.838,0.8
Moss,PC,2/27/2018,NA,Polyarc,Polyarc,,3D Platformer,1,,,1,,2/19/2020, $ -   ,Digital,0,,,,81%,73%,Steam,4,,4.00,,2018,78%,0.769,0.8
Chrono Trigger,PC,2/27/2018,NA,Square Enix,Square Enix,Chrono,Turn-Based RPG,,,,1,,8/27/2018, $ 7.49 ,Digital,0,,,,,88%,Steam,3,,23.00,,2018,74%,88%,0.6
de Blob 2,Xbox One,2/27/2018,NA,THQ Nordic,BlitWorks,de Blob,Puzzle Platformer,,,,1,,4/24/2021, $ -   ,Digital,0,,,,76%,83%,,3,,10.50,,2018,70%,0.797,0.6
Cyberdimension Neptunia: 4 Goddesses Online,PC,2/27/2018,NA,Idea Factory International,Idea Factory,Hyperdimension Neptunia,Turn-Based RPG,,,,1,,6/6/2022, $ 8.99 ,Digital,0,,,,,73%,Steam,3,,14.00,,2018,67%,73%,0.6
Secret Little Haven,PC,2/27/2018,NA,Hummingwrap Interactive,Hummingwrap Interactive,,Adventure,,,,1,,, $ -   ,Digital,0,,,,,70%,itch.io,2,,3.50,,2018,55%,70%,0.4
Sword Art Online: Fatal Bullet,Xbox One,2/23/2018,NA,Bandai Namco Entertainment,Dimps,Sword Art Online,Action RPG,,,,1,,4/29/2022, $ 9.99 ,Digital,0,,,,72%,77%,,3,,26.00,,2018,67%,0.747,0.6
Orwell: Ignorance is Strength,PC,2/22/2018,NA,Fellow Traveller,Osmotic Studios,Orwell,Adventure,,,,1,,11/15/2018,,Digital,0,,,,70%,71%,Steam,3,,3.50,,2018,65%,0.704,0.6
Yume Nikki: Dream Diary,PC,2/22/2018,NA,Playism,Kadokawa Corporation,Yume Nikki,Survival Horror,,,,1,,,,Digital,0,,,,51%,64%,Steam,2,,4.00,,2018,49%,0.573,0.4
Rad Rodgers,PlayStation 4,2/21/2018,NA,THQ Nordic,Slipgate Studios,,Side-Scrolling Platformer,,,,1,Complete,12/20/2018, $ 13.99 ,Physical,0,,,,57%,68%,,2,,3.00,,2018,51%,0.625,0.4
Vagante,PC,2/21/2018,NA,Nuke Nine,Nuke Nine,,Action Platformer,,,,1,,3/18/2022, $ -   ,Digital,0,,,,,49%,Steam,2,,20.00,,2018,44%,49%,0.4
"I, Hope",PC,2/21/2018,NA,++Good Games,Kenny Roy,,Action Adventure,,,,1,,, $ -   ,Digital,0,,,,,40%,Twitch,2,,2.00,,2018,40%,40%,0.4
Metal Gear Survive,PC,2/20/2018,NA,Konami,Konami,Metal Gear,Survival,,,,1,,4/23/2021, $ 5.99 ,Digital,0,,,,54%,34%,Steam,2,,22.00,,2018,42%,0.442,0.4
Bayonetta 2,Nintendo Switch,2/16/2018,NA,Nintendo,PlatinumGames,Bayonetta,Hack-and-Slash,,,,1,Complete,9/2/2022, $ 66.92 ,Physical,0,,,,92%,85%,,3,,9.00,,2018,74%,0.883,0.6
Bayonetta,Nintendo Switch,2/16/2018,NA,Nintendo,PlatinumGames,Bayonetta,Hack-and-Slash,,,,1,Complete,7/30/2022, $ 32.58 ,Physical,0,,,,84%,83%,,2,,11.50,,2018,62%,0.835,0.4
Secret of Mana,PlayStation 4,2/15/2018,NA,Square Enix,Square Enix,Mana,Action RPG,,,,1,Complete,3/2/2021, $ 14.99 ,Physical,0,,,,63%,76%,,3,,16.50,,2018,65%,0.695,0.6
Toaru Majutsu no Virtual-On,PlayStation Vita,2/15/2018,JP,Sega,Sega,Virtual On,Vehicular Combat,,,0,0,,,,,0,,,,,80%,Delisted,2,,10.00,,2018,60%,80%,0.4
Kingdom Come: Deliverance,PC,2/13/2018,NA,Warhorse Studios,Warhorse Studios,,Action RPG,,,,1,,7/5/2019, $ 11.00 ,Digital,0,,,,74%,75%,Steam,4,,39.50,,2018,77%,0.744,0.8
Kingdom Come: Deliverance,PlayStation 4,2/13/2018,NA,Deep Silver,Warhorse Studios,,Action RPG,,,,1,Complete,2/10/2019, $ 14.46 ,Physical,0,,,,72%,76%,,4,,39.50,,2018,77%,0.739,0.8
Radiant Historia: Perfect Chronology,Nintendo 3DS,2/13/2018,NA,Atlus USA,Atlus,Radiant Historia,Turn-Based RPG,,,,1,Complete,3/6/2018, $ 34.23 ,Physical,0,,,,86%,83%,,3,,25.50,,2018,72%,0.844,0.6
The Fall Part 2: Unbound,PC,2/13/2018,NA,Over the Moon Games,Over the Moon Games,The Fall,Action Adventure,,,,1,,5/8/2020, $ 1.75 ,Digital,0,,,,73%,80%,Steam,3,,7.00,,2018,68%,0.765,0.6
Crossing Souls,PC,2/13/2018,NA,Devolver Digital,Fourattic,,Action Adventure,,,,1,,, $ -   ,Digital,0,,,,70%,75%,Twitch,3,,8.50,,2018,66%,0.724,0.6
The Longest Five Minutes,Nintendo Switch,2/13/2018,NA,NIS America,Nippon Ichi Software,,Turn-Based RPG,,,,1,,7/1/2022, $ 3.99 ,Digital,0,,,,67%,76%,,2,,9.00,,2018,56%,0.717,0.4
Dynasty Warriors 9,PlayStation 4,2/13/2018,NA,Koei Tecmo,Omega Force,Dynasty Warriors,Hack-and-Slash,,,,1,Complete,10/14/2021, $ 15.31 ,Physical,0,,,,65%,64%,,2,,32.00,,2018,52%,0.644,0.4
Break Arts II,PC,2/9/2018,NA,Playism,MercuryStudio,Break Arts,Racing,,,,1,,6/18/2020, $ -   ,Digital,0,,,,,,Steam,2,,,,2018,40%,,0.4
Aegis Defenders,Nintendo Switch,2/8/2018,NA,Humble Games,Guts Department,,Tower Defense,,,,1,Complete,8/19/2019, $ 43.08 ,Physical,0,,,,75%,79%,Limited Run Games,3,,10.00,,2018,68%,0.769,0.6
A Case of Distrust,PC,2/8/2018,NA,Serenity Forge,The Wandering Ben,,Adventure,,,,1,,8/7/2020, $ -   ,Digital,0,,,,77%,73%,Steam,3,,2.50,,2018,67%,0.749,0.6
Aegis Defenders,PC,2/8/2018,NA,Humble Games,Guts Department,,Tower Defense,,,,1,,12/6/2019, $ -   ,Digital,0,,,,82%,68%,Steam,3,,10.00,,2018,67%,0.747,0.6
Mercenaries Saga Chronicles,Nintendo Switch,2/8/2018,NA,Circle Entertainment,Rideon,Mercenaries Saga,Strategy RPG,,,,1,Complete,6/5/2022, $ 40.66 ,Physical,0,,,,68%,78%,,3,,47.00,,2018,67%,0.731,0.6
All Our Asias,PC,2/7/2018,NA,Analgesic Productions,Sean Han Tani,,Adventure,,,,1,,8/28/2018,,Digital,0,,,,,43%,Steam,3,,1.50,,2018,52%,43%,0.6
Shadow of the Colossus,PlayStation 4,2/6/2018,NA,Sony Interactive Entertainment,Bluepoint Games,Shadow of the Colossus,Action Adventure,,,,1,Complete,12/9/2018, $ 21.16 ,Physical,0,,,,92%,82%,,4,,6.50,,2018,84%,0.871,0.8
Dandara,PC,2/6/2018,NA,Raw Fury,Long Hat House,,Metroidvania,,,,1,,4/10/2019, $ -   ,Digital,0,,,,70%,76%,Steam,3,,6.50,,2018,67%,0.731,0.6
Sairento VR,PC,2/6/2018,NA,Mixed Realms Pte Ltd,Mixed Realms Pte Ltd,,First-Person Shooter,1,,,1,,4/7/2021, $ -   ,Digital,0,,,,78%,53%,Steam,3,,2.00,,2018,63%,0.657,0.6
Regions of Ruin,PC,2/5/2018,NA,Poysky Productions,Vox Games,,Action RPG,,,,1,,1/4/2019,,Digital,0,,,,,62%,Steam,2,,11.00,,2018,51%,62%,0.4
Remnants of Naezith,PC,2/5/2018,NA,Tolga Ay,Tolga Ay,,Action Platformer,,,,1,,3/1/2023, $ -   ,Digital,0,,,,,58%,Steam,2,,6.50,,2018,49%,58%,0.4
We Were Here Too,PC,2/2/2018,NA,Total Mayhem Games,Total Mayhem Games,We Were Here,Adventure,,,,1,,10/5/2018,,Digital,0,,,,60%,70%,Steam,3,,3.00,,2018,63%,0.65,0.6
Avernum 3: Ruined World,PC,1/31/2018,NA,Spiderweb Software,Spiderweb Software,Avernum,Computer RPG,,,,1,,10/4/2019, $ -   ,Digital,0,,,,90%,84%,Steam,3,,,,2018,73%,0.869,0.6
Candleman,PC,1/31/2018,NA,Candleman Games,Candleman Games,,3D Platformer,,,,1,,, $ -   ,Digital,0,,,,76%,68%,Twitch,3,,4.00,,2018,66%,0.72,0.6
Remothered: Tormented Fathers,PC,1/30/2018,NA,Darril Arts,Stormind Games,Remothered,Adventure,,,,1,,2/20/2020, $ 3.33 ,Digital,0,,,,77%,66%,Steam,3,,6.00,,2018,66%,0.717,0.6
Dissidia Final Fantasy NT,PlayStation 4,1/30/2018,NA,Square Enix,Team Ninja,Final Fantasy,Fighting,,,,1,Complete,6/18/2020, $ 12.19 ,Physical,0,,,,67%,69%,,3,,17.00,,2018,64%,0.682,0.6
Mirage of Dragon,PC,1/26/2018,NA,Forever Entertainment,Arkhouse Telegraph,,Puzzle Platformer,,,,1,,12/22/2022, $ 0.49 ,Digital,0,,,,,,Steam,2,,,,2018,40%,,0.4
Zwei: The Arges Adventure,PC,1/24/2018,NA,Xseed Games,Nihon Falcom,Zwei,Action RPG,,,,1,,12/4/2020, $ -   ,Digital,0,,,,68%,68%,Steam,3,,14.00,,2018,64%,0.678,0.6
Subnautica,PC,1/23/2018,NA,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Subnautica,Survival,1,,,1,,2/13/2017, $ -   ,Digital,0,,,,89%,83%,Steam,3,,26.50,,2018,73%,0.861,0.6
Lost Sphear,PC,1/23/2018,NA,Square Enix,Tokyo RPG Factory,,Turn-Based RPG,,,,1,,5/1/2020, $ 17.99 ,Digital,0,,,,69%,75%,Steam,3,,26.00,,2018,66%,0.721,0.6
The Aquatic Adventure of the Last Human,PlayStation 4,1/23/2018,NA,Digerati Distribution,YCJY,,Metroidvania,,,,1,Complete,12/3/2019, $ 26.62 ,Physical,0,,,,60%,85%,Hard Copy Games,2,,6.50,,2018,56%,0.725,0.4
The Inpatient,PlayStation 4,1/23/2018,NA,Sony Interactive Entertainment,Supermassive Games,,Survival Horror,1,,,1,Complete,10/17/2022, $ 19.90 ,Physical,0,,,,59%,57%,,2,,2.00,,2018,49%,0.578,0.4
The Red Strings Club,PC,1/22/2018,NA,Devolver Digital,Deconstructeam,,Adventure,,,,1,,, $ -   ,Digital,0,,,,80%,73%,Twitch,3,,4.00,,2018,68%,0.766,0.6
Digimon Story: Cyber Sleuth – Hacker's Memory,PlayStation 4,1/19/2018,NA,Bandai Namco Entertainment,Media.Vision,Digimon,Turn-Based RPG,,,,1,Complete,9/17/2020, $ 9.99 ,Physical,0,,,,73%,81%,,2,,44.50,,2018,59%,0.772,0.4
Kirby Battle Royale,Nintendo 3DS,1/19/2018,NA,Nintendo,HAL Laboratory,Kirby,Fighting,,,,1,Complete,11/19/2022, $ 27.15 ,Physical,0,,,,57%,72%,,2,,5.50,,2018,52%,0.647,0.4
Gintama Rumble,PlayStation 4,1/18/2018,AS,Bandai Namco Games,Tamsoft,Gintama,Hack-and-Slash,,,2,0,,,,,0,,,,,59%,,3,,11.00,,2018,60%,59%,0.6
Genital Jousting,PC,1/18/2018,NA,Devolver Digital,Free Lives,,Action,,,,1,,4/5/2017,,Digital,0,,,,70%,63%,Steam,2,,1.50,,2018,53%,0.663,0.4
Full Metal Furies,PC,1/17/2018,NA,Cellar Door Games,Cellar Door Games,,Action RPG,,,,1,,2/18/2019,,Digital,0,,,,84%,77%,Steam,4,,10.00,,2018,80%,0.806,0.8
Rym 9000,PC,1/15/2018,NA,Sonoshee,Sonoshee,,Scrolling Shooter,,,,1,,3/1/2023, $ -   ,Digital,0,,,,,,Steam,2,,,,2018,40%,,0.4
Rusty Lake Paradise,PC,1/11/2018,NA,Rusty Lake,Rusty Lake,Rusty Lake,Adventure,,,,1,,9/18/2018, $ 1.17 ,Digital,0,,,,,76%,Steam,2,,3.50,,2018,58%,76%,0.4
Next Up Hero,PC,1/11/2018,NA,Aspyr,Digital Continue,,Action RPG,,,,1,,, $ -   ,Digital,0,,,,63%,75%,Twitch,2,,15.00,,2018,54%,0.689,0.4
Gris,Nintendo Switch,12/13/2018,NA,Devolver Digital,Nomada Studio,,Adventure Platformer,,,,1,Complete,11/25/2019, $ 41.99 ,Physical,1,1/12/2023,2.00,70%,85%,79%,Special Reserve Games,,,,,2018,76%,0.81855,70%
"The Haunted Island, a Frog Detective Game",PC,11/22/2018,NA,worm club,"Grace Bruxner, Thomas Bowker",Frog Detective,Adventure,,,,1,,10/29/2019, $ 4.55 ,Digital,1,1/2/2021,0.60,60%,80%,63%,Steam,,,,,2018,66%,0.717,60%
"Pokémon: Let's Go, Pikachu!",Nintendo Switch,11/16/2018,NA,Nintendo,Game Freak,Pokémon,Turn-Based RPG,,,,1,Complete,11/24/2018, $ 64.97 ,Physical,1,4/20/2019,19.98,80%,77%,72%,,,,,,2018,77%,0.747,80%
Diablo III: Eternal Collection,Nintendo Switch,11/2/2018,NA,Blizzard Entertainment,Blizzard Entertainment,Diablo,Action RPG,,,,1,Complete,11/2/2018, $ 60.96 ,Physical,1,,,80%,89%,84%,,,,,,2018,83%,0.863,80%
Pixel Puzzle Collection,iOS,10/9/2018,NA,Konami,Konami,,Puzzle,,,,1,,, $ -   ,Digital,1,3/28/2023,41.10,80%,,75%,,,,,,2018,78%,75%,80%
Assassin's Creed Odyssey,PlayStation 4,10/5/2018,NA,Ubisoft,Ubisoft Quebec,Assassin's Creed,Action RPG,,,,1,Complete,1/17/2019, $ 27.11 ,Physical,1,11/17/2019,37.33,85%,84%,81%,,,,,,2018,84%,0.825,85%
Astro Bot Rescue Mission,PlayStation 4,10/2/2018,NA,Sony Interactive Entertainment,SCE Japan Studio,Astro Bot,3D Platformer,1,,,1,,3/25/2021, $ -   ,Digital,1,7/29/2023,4.00,80%,90%,86%,,,,,,2018,84%,0.881,80%
ZeroRanger,PC,9/28/2018,NA,System Erasure,System Erasure,,Scrolling Shooter,,,,1,,6/26/2019, $ 9.59 ,Digital,1,1/4/2023,4.55,80%,87%,81%,Steam,,,,,2018,82%,0.841,80%
